ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
in Derge (D),The main title in Tibetan,"possible values:
- author (A)
- translator (Tr)
- pandita (P)
- sponsor (of translation), Sp
- scribe, Sc
- translator2 (when two translations are indicated in the colophon), Tr2
- pandita2, P2
- revisor, R
- revisorpandita, RP
- revisionsponsor, RSp
- revisor2, R2
- revisor2pandita, R2P
- revisor3, R3
- revisor3pandita, R3P
- translationplace, TrPl
- revisionplace, RPl
- requesterOfTranslation","the ID of the identified person in the ""Persons"" sheet",,The name as indicated in the colophon of the Derge Tengyur,add X in this column if the data is ambiguous,a note in plain English,"possible values are IDs from the source spreadsheet, ""colophon"" or ""karchak"""
D1109,khyad par du 'phags pa'i bstod pa,author,P4CZ10507,,slob dpon mtho btsun grub rje,,,
D1109,khyad par du 'phags pa'i bstod pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de wa,,,
D1109,khyad par du 'phags pa'i bstod pa,translator,P2JM5,,zhu chen gyi lo tsA ba ban de rin chen,,,
D1109,khyad par du 'phags pa'i bstod pa,translator2,P8182,,ban de dpal brtsegs rak+Shi ta,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,author,P2548,,slob dpon shes rab go cha,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po paN+Di ta dzA ran da na,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,translationplace,G880,,dpal sa skya'i dgon pa,,,
D1110,khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa,revisor,P4404,,,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,author,P4CZ10507,,bram ze'i dge bsnyen mtho btsun grub rje,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po dzA ran da na,,,
D1111,thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1112,lha las phul du byung bar bstod pa,author,P4CZ10508,,slob dpon bde byed bdag po,,,
D1112,lha las phul du byung bar bstod pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nyA de wa,,,
D1112,lha las phul du byung bar bstod pa,translator,P2JM5,,lo tsA ba ban+de rin chen,,,
D1112,lha las phul du byung bar bstod pa,revisor,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs rak+Shi tas,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,author,P2548,,slob dpon shes rab go cha,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,translatorPandita,P4CZ15568,,rgya gar gyi mkhan po dzA ra na da na'i zhal snga nas,,,
D1113,lha las phul du byung bar bstod pa'i rgya cher 'grel pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,author,P0AT0002,,phags ma nor rgyun ma,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translator,P3963,,sgra'i mkhan po dpal rgyal ba'i bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translator,P2147,,shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D1114,sangs rgyas kyi bstod pa zhes bya ba,translationplace,-,,rab tu bsngags pa'i gnas chen po bal po yam bu'i grong khyer,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,author,P6117,,slob dpon thogs med,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,translatorPandita,P1KG8854,,shI leN+d+ra bo d+hi,,,
D1115,chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D1116,de kho na nyid la bstod pa,author,P4CZ54054,,shAkya'i dge slong dpal gyi go cha,,,
D1116,de kho na nyid la bstod pa,translatorPandita,P4CZ54055,,rgya gar gyi mkhan po many+dzu shrI b+ha dra,,,
D1116,de kho na nyid la bstod pa,translator,P4CZ16819,,dge slong shAkya 'od,,,
D1117,bdud btul ba la bstod pa,author,P7374,,rab dga'i lha,,,
D1118,chos kyi dbyings su bstod pa,author,P4954,,slob dpon chen po klu sgrub,,,
D1118,chos kyi dbyings su bstod pa,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D1118,chos kyi dbyings su bstod pa,translator,P3456,,lo tsA ba tshul khrims rgyal ba,,,
D1119,dpe med par bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1119,dpe med par bstod pa,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D1119,dpe med par bstod pa,translator,P3456,,lo tsA ba tshul khrims rgyal ba,,,
D1120,jig rten las 'das par bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1120,jig rten las 'das par bstod pa,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D1120,jig rten las 'das par bstod pa,translator,P3456,,lo tsA ba tshul khrims rgyal ba,,,
D1121,sems kyi rdo rje'i bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1121,sems kyi rdo rje'i bstod pa,translatorPandita,P2956,,,,,
D1121,sems kyi rdo rje'i bstod pa,translator,P3456,,,,,
D1122,don dam par bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1122,don dam par bstod pa,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D1122,don dam par bstod pa,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D1123,sku gsum la bstod pa zhes bya ba,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1123,sku gsum la bstod pa zhes bya ba,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D1123,sku gsum la bstod pa zhes bya ba,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D1124,sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa,author,P4954,,slob dpon klu sgrub,,,
D1124,sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa,translatorPandita,P3388,,rgya gar gyi mkhan po shrad+d+hA ka ra warma,,,
D1124,sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa,translator,P753,,bod kyi lo tsA ba ban+de rin chen bzang po,,,
D1125,sems can mgu bar bya ba'i bstod pa,author,P4954,,slob dpon klu sgrub,,,
D1125,sems can mgu bar bya ba'i bstod pa,translatorPandita,P3379,,rgya gar gyi mkhan po chen po dI paM ka ra shrI dz+nyA na,,,
D1125,sems can mgu bar bya ba'i bstod pa,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D1126,rdo rje 'chang chen po'i bstod pa,author,P8232,,phyag na rdo rje,,,
D1126,rdo rje 'chang chen po'i bstod pa,translator,P856,,zha lu lo tsA ba d+harma pA la,,,
D1126,rdo rje 'chang chen po'i bstod pa,translationplace,G434 ?,,dpal gdan sa thel gyi yang dgon,,,
D1127,shes rab kyi pha rol tu phyin ma'i bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1127,shes rab kyi pha rol tu phyin ma'i bstod pa,translatorPandita,P4CZ15246,,kha che'i paN+Di ta thig le bum pa,,,
D1127,shes rab kyi pha rol tu phyin ma'i bstod pa,translator,P2551,,lo tsA ba blo ldan shes rab,,,
D1128,bsam gyis mi khyab par bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1128,bsam gyis mi khyab par bstod pa,translator,P3456,,,,,
D1129,bstod pa las 'das par bstod pa,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1130,phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba,author,P4954,,,,,
D1131,phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba,author,P4954,,slob dpon chen po klu sgrub,,,
D1132,rje btsun 'phags pa 'jam dpal gyi snying rje la bstod pa,author,P4954,,,,,
D1133,gnas chen po brgyad kyi mchod rten la bstod pa,author,P4954,,slob dpon chen po 'phags pa klu sgrub,,,
D1134,gnas chen po brgyad kyi mchod rten la bstod pa,author,P4954,,slob dpon chen po 'phags pa klu sgrub,,,
D1135,mdzad pa bcu gnyis kyi tshul la bstod pa,author,P4954,,slob dpon chen po 'phags pa klu sgrub,,,
D1136,phyag 'tshal ba'i bstod pa zhes bya ba,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D1137,dmyal ba nas 'don pa zhes bya ba,author,P4954,,slob dpon chen po klu sgrub kyis mdzad pa,,,
D1137,dmyal ba nas 'don pa zhes bya ba,translator,P5651,,,,,
D1138,sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba,author,P4CZ10509,,slob dpon ma ti tsi tra,,,
D1138,sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba,translatorPandita,P8194,to check,rgya gar gyi mkhan po pad+mA ka ra,,,
D1138,sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba,revisor,P753,,lo tsA ba dge slong rin chen bzang po,,,
D1139,dkon mchog gsum la bkra shis kyi bstod pa,author,P4CZ10509,,slob dpon ma ti tsi tra,,,
D1139,dkon mchog gsum la bkra shis kyi bstod pa,translatorPandita,P8213,,rgya gar gyi mkhan po bi d+yA ka ra siM ha pra b+ha,,,
D1139,dkon mchog gsum la bkra shis kyi bstod pa,translator,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs rak+Shi ta,,,
D1140,yang dag par rdzogs pa'i sangs rgyas kyi mtshan la bstod pa,author,P4CZ10509,,slob dpon ma ti tsi tra,,,
D1141,gcig las 'phros pa'i bstod pa,author,P4CZ10509,,slob dpon ma ti tsi tra,,,
D1141,gcig las 'phros pa'i bstod pa,translatorPandita,P8171,,,,,
D1141,gcig las 'phros pa'i bstod pa,translator,P753,,,,,
D1142,bde bar gshegs pa sum cu rtsa lnga'i bstod pa mtshan rin po ches spras pa,author,P4CZ10509,,slob dpon ma ti tsi Ta,,,
D1143,tshig brgyad pa'i bstod pa,author,P4CZ16904,,dge bsnyen mtha' yas lha,,,
D1144,dkon mchog gsum gyi bstod pa,author,P4CZ10509,,slob dpon chen po ma ti tsi Ta,,,
D1145,dkon mchog gsum la bstod pa'i 'grel pa,author,,to check,slob dpon rgyal ba'i sras,,,
D1145,dkon mchog gsum la bstod pa'i 'grel pa,translatorPandita,P4CZ16882,,rgya gar gyi mkhan po dz+nyA na shAn+ti,,,
D1145,dkon mchog gsum la bstod pa'i 'grel pa,translator,P4259,,bod kyi lo tsA ba ban+de dpal gyi lhun po'i sde,,,
D1146,dkon mchog gsum gyi bstod pa,author,P6119,,slob dpon dbyig gnyen,,,
D1147,brgya lnga bcu pa zhes bya ba'i bstod pa,author,P7588,,slob dpon mkhas pa chen po bram ze rta dbyangs,,,
D1147,brgya lnga bcu pa zhes bya ba'i bstod pa,translatorPandita,P3388,,rgya gar gyi mkhan po shrI shrad+d+haka ra wa r+m+ma,,,
D1147,brgya lnga bcu pa zhes bya ba'i bstod pa,translator,P8216,,lo tsA ba shAkya blo gros,,,
D1148,brgya lnga bcu pa zhes bya ba'i bstod pa'i 'grel pa,author,P0AT0003,,dge slong dga' byed snyan pa,,,
D1148,brgya lnga bcu pa zhes bya ba'i bstod pa'i 'grel pa,translatorPandita,P3388,,rgya gar gyi mkhan po shrI shrad+d+hA ka ra wa r+m+ma,,,
D1148,brgya lnga bcu pa zhes bya ba'i bstod pa'i 'grel pa,translator,P8216,,lo tsA ba shAkya blo gros,,,
D1149,gaN+DI'i bstod pa tshigs su bcad pa,author,P7588,,slob dpon rta dbyangs,,,
D1149,gaN+DI'i bstod pa tshigs su bcad pa,translator,P10183,,lo tsA ba btsun pa d+ha r+m+ma yon tan,,,
D1149,gaN+DI'i bstod pa tshigs su bcad pa,translatorPandita,P7878,,mkhas pa chen po rgyal ba'i sde,,,
D1150,spel mar bstod pa zhes bya ba,author,P6126,,slob dpon phyogs kyi glang po dag gi zhal snga,,,
D1150,spel mar bstod pa zhes bya ba,translatorPandita,P4CZ15137,,rgya gar gyi mkhan po ku ma ra ka la sha,,,
D1150,spel mar bstod pa zhes bya ba,translator,P4213,,zhu chen gyi lo tsA ba dge slong bsod nams bzang po,,,
D1150,spel mar bstod pa zhes bya ba,author,P6126,,slob dpon phyogs kyi glang po,,,
D1151,de bzhin gshegs pa thams cad la bstod pa,author,P4906,,,,,
D1152,bcom ldan 'das shAkya thub pa'i bstod pa,author,P4906,,slob dpon dkon mchog gsum gyi 'bangs,,,
D1153,dpal ldan rje btsun byang chub chen po'i bstod pa,author,P7875,,mchog sred,,,
D1153,dpal ldan rje btsun byang chub chen po'i bstod pa,translator,P856,,zha lu lo tsA ba dge slong chos skyong bzang po,,,
D1154,sangs rgyas kyi bstod pa bcu pa,author,P207,,dpal nags kyi rin po che,,,
D1154,sangs rgyas kyi bstod pa bcu pa,translator,P0AT0004,,dA ri dra pa rgya mtsho'i sde,,,
D1155,yon tan mtha' yas par bstod pa,author,P4906,,slob dpon dkon mchog 'bangs,,,
D1155,yon tan mtha' yas par bstod pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarbadz+nya de ba,,,
D1155,yon tan mtha' yas par bstod pa,translator,P2JM5,,lo tsA ba ban+de rin chen,,,
D1155,yon tan mtha' yas par bstod pa,revisor,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs,,,
D1156,yon tan mtha' yas par bstod pa'i 'grel pa,author,P6126,,slob dpon chen po phyogs kyi glang po,,,
D1156,yon tan mtha' yas par bstod pa'i 'grel pa,translatorPandita,P00KG07267,,(P) rgya gar gyi mkhan po sarba dz+nyA de ba,,,
D1156,yon tan mtha' yas par bstod pa'i 'grel pa,translator,P2JM5,,(P) lo tsA ba ban+de rin chen mchog,,,
D1156,yon tan mtha' yas par bstod pa'i 'grel pa,revisor,P8182,,(P) zhus chen gyi lo tsA ba ban+de dpal brtsegs rak+Shi ta,,,
D1157,yon tan mtha' yas par bstod pa'i don gyi tshig le'ur byas pa,author,P6126,,slob dpon chen po phyogs kyi glang po,,,
D1157,yon tan mtha' yas par bstod pa'i don gyi tshig le'ur byas pa,translatorPandita,P00KG07267,,rgya gar gyi mkhan po sarba dz+nya de ba,,,
D1157,yon tan mtha' yas par bstod pa'i don gyi tshig le'ur byas pa,translator,P2JM5,,lo tsA ba ban+de rin chen,,,
D1157,yon tan mtha' yas par bstod pa'i don gyi tshig le'ur byas pa,translator2,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs rak+Shi ta,,,
D1158,sangs rgyas yongs su mya ngan las 'das pa la bstod pa,author,P6120,,slob dpon chen po dpal ldan chos kyi grags pa,,,
D1159,bshags pa'i bstod pa,author,P7599,,slob dpon tsan+d+ra go mi,,,
D1159,bshags pa'i bstod pa,translatorPandita,P3388,,rgya gar gyi mkhan po ba ng+d+ha ka ra wa rma,,,
D1159,bshags pa'i bstod pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1160,bshags pa'i bstod pa'i 'grel ba,author,P4CZ10516,,slob dpon sangs rgyas zhi ba,,,
D1160,bshags pa'i bstod pa'i 'grel ba,translatorPandita,P4CZ10517,,rgya gar gyi mkhan po bud+d+ha shrI shAn+ti,,,
D1160,bshags pa'i bstod pa'i 'grel ba,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1161,sangs rgyas dbang bskur ba zhes bya ba'i bstod pa,translator,P753,,lo tsA ba chen po rin chen bzang po,,,
D1162,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs,author,P5659 ?,,dpal rdo rje 'dzin,,,
D1162,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha,,,
D1162,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs,translator,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs,,,
D1163,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs kyi rgya cher bshad pa,author,P5659,,slob dpon zhi ba 'tsho 'phags pa 'jam pa,,,
D1163,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs kyi rgya cher bshad pa,translatorPandita,P8211,,rgya gar gyi mkhan po bi d+yA ka ra pra b+ha,,,
D1163,bcom ldan 'das la bstod pa dpal rdo rje 'dzin gyi dbyangs kyi rgya cher bshad pa,translator,P8182,,zhu chen gyi lo tsA ba ban+de dpal brtsegs,,,
D1164,de bzhin gshegs pa lnga la bstod pa,translatorPandita,P8194,,(D) rgya gar gyi mkhan po pad+ma kar warma,,,
D1164,de bzhin gshegs pa lnga la bstod pa,translatorPandita,,,(P) rgya gar gyi mkhan po shrad+d+ha kA ra,,,
D1164,de bzhin gshegs pa lnga la bstod pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1164,de bzhin gshegs pa lnga la bstod pa,author,P3388?,,,,,
D1164,de bzhin gshegs pa lnga la bstod pa,author,P753?,,,,,
D1165,de bzhin gshegs pa bdun gyi bstod pa,translatorPandita,P8194,,rgya gar gyi mkhan po pad+ma ka ra wa rma,,,
D1165,de bzhin gshegs pa bdun gyi bstod pa,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1165,de bzhin gshegs pa bdun gyi bstod pa,author,P3388?,,,,,
D1165,de bzhin gshegs pa bdun gyi bstod pa,author,P8182?,,,,,
D1166,de bzhin gshegs pa brgyad la bstod pa,author,P5659,,slob dpon zhi ba 'tsho,,,
D1167,rab tu snga bar nam langs pa'i bstod pa,author,P7374,,kha che'i rgyal po shrI ha ri sha de ba,,,
D1167,rab tu snga bar nam langs pa'i bstod pa,translatorPandita,P4CZ10518,,rgya gar gyi mkhan po paN+Ti ta rA dza shrI dz+nyA na mi tra,,,
D1167,rab tu snga bar nam langs pa'i bstod pa,translator,P4CZ10522,,lo tsA ba khe'u brgad yon tan dpal,,,
D1168,gnas chen po brgyad kyi mchod rten la phyag 'tshal ba'i bstod pa,author,P7374,,kha che'i rgyal po shrI ha ri sha de ba,,,
D1168,gnas chen po brgyad kyi mchod rten la phyag 'tshal ba'i bstod pa,translatorPandita,P4CZ10518,,rgya gar gyi mkhan po rA dza shrI dz+nyA na mi tra,,,
D1168,gnas chen po brgyad kyi mchod rten la phyag 'tshal ba'i bstod pa,translator,P4CZ10522,,lo tsA ba khe'u brgad yon tan dpal,,,
D1169,de bzhin gshegs pa'i mtshan brjod bskal bzang rgyan gyi phreng ba zhes bya ba,author,P1518,,kha che'i paN+Di ta shAkya shrI,,,
D1169,de bzhin gshegs pa'i mtshan brjod bskal bzang rgyan gyi phreng ba zhes bya ba,translatorPandita,P1518,,kha che'i paN+Di ta shAkya shrI,,,
D1169,de bzhin gshegs pa'i mtshan brjod bskal bzang rgyan gyi phreng ba zhes bya ba,translator,P4007,,lo ts+tsha ba byams pa'i dpal,,,
D1169,de bzhin gshegs pa'i mtshan brjod bskal bzang rgyan gyi phreng ba zhes bya ba,translator2,P461,,sa skya lo tsA ba,,,
D1170,sbyor ba bzhi'i lha la bstod pa zhes bya ba,author,P8181,,paN+Di ta chen po rat+na kIrti,,,
D1170,sbyor ba bzhi'i lha la bstod pa zhes bya ba,translatorPandita,P4CZ15525,,bal po ma hA pa na,,,
D1171,mkhas pa chen po grags pa rgyal mtshan la bstod pa,author,P8200,,rgya gar gyi mkhan po su ga ta shrI,,,
D1171,mkhas pa chen po grags pa rgyal mtshan la bstod pa,translatorPandita,P8200,,rgya gar gyi mkhan po su ga ta shrI,,,
D1171,mkhas pa chen po grags pa rgyal mtshan la bstod pa,translator,P1056,,shAkya'i dge slong kun dga' rgyal mtshan dpal bzang po,,,
D1172,bla ma dam pa chos kyi rgyal po la bstod pa zhes bya ba,author,P1051,,rgya gar gyi paN+Di ta snyan ngag mkhan chen po lak+Sh+mI ka ra,,,
D1172,bla ma dam pa chos kyi rgyal po la bstod pa zhes bya ba,translatorPandita,P1051,,rgya gar gyi paN+Di ta snyan ngag mkhan chen po lak+Sh+mI ka ra,,,
D1172,bla ma dam pa chos kyi rgyal po la bstod pa zhes bya ba,translator,P1046,,lo tsA ba shong ston,,,
D1172,bla ma dam pa chos kyi rgyal po la bstod pa zhes bya ba,translationplace,-,,dpal sa skya'i gtsug lag khang,,,
D1173,rje btsun 'jig rten dbang phyug seng ge sgra la bstod pa,author,?,,rje btsun 'jig rten dbang phyug seng ge,,,
D1173,rje btsun 'jig rten dbang phyug seng ge sgra la bstod pa,translator,P856,,zha lu lo tsA ba dge slongad+har+m+ma pA la b+ha dras,,,
D1174,jig rten dbang phyug gi bstod pa rin po che'i phreng ba zhes bya ba,author,P207,,rgya gar shar phyogs kyi paN+Di ta chen po nags kyi rin po che,,,
D1174,jig rten dbang phyug gi bstod pa rin po che'i phreng ba zhes bya ba,translator,P208,,dge slong rgya mtsho'i sde,,,
D1174,jig rten dbang phyug gi bstod pa rin po che'i phreng ba zhes bya ba,revisionplace,-,,bal yul ye rang gi grong khyer chen po'i 'dab dpal go pi tsan+d+ra'i gtsug lag khang chen po,,,
D1174,jig rten dbang phyug gi bstod pa rin po che'i phreng ba zhes bya ba,translatorPandita,P207,,,,,
D1175,tshogs kyi dbang phyug gi bstod pa,author,P207,,slob dpon dpal nags kyi rin chen,,,
D1175,tshogs kyi dbang phyug gi bstod pa,translator,P208,,dge slong rnal 'byor spyod pa rgya mtsho'i sde,,,
D1175,tshogs kyi dbang phyug gi bstod pa,translationplace,-,,nor bu rgyas pa'i gtsug lag khang chen po,,,
D1175,tshogs kyi dbang phyug gi bstod pa,translatorPandita,P207,,,,,
D1176,dpal ri khrod zhabs kyi bstod pa rin po che,author,P207,,mkhas pa chen po dpal nags kyi rin chen,,,
D1176,dpal ri khrod zhabs kyi bstod pa rin po che,translator,P318?,,chos smra ba gzhon nu dpal,,,
D1176,dpal ri khrod zhabs kyi bstod pa rin po che,translationplace,-,,ding ri,,,
D1177,dpal ldan bla ma nags kyi rin chen gyi bstod pa bdun pa,author,P3264,,yul ma gad+hA nas byung ba'i dge bsnyen dam pa nyi ma pa,,,
D1177,dpal ldan bla ma nags kyi rin chen gyi bstod pa bdun pa,translator,P4CZ15220,,rtse thang lo tsA ba gzhon nu dpal,,,
D1178,skyes pa rabs kyi bstod pa,author,P0ER0006,,slob dpon ye shes grags pa,,,
D1178,skyes pa rabs kyi bstod pa,translator,P856,,zhwa lu lo tsA ba dge slong d+harma pA la b+ha dra,,,
D1179,bla ma dam pa la bstod pa,author,P2821,,cho kyi nyi ma,,,
D1179,bla ma dam pa la bstod pa,translator,P856,RC,zha lu lo tsā ba,,Translator mentioned in sde dge dkar chags,
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,author,P4CZ10523,,sa bcu'i dbang phyug chen po byang chub sems dpa' rdo rje snying po,,,
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,translatorPandita,P0AT0291,,rgya gar gyi mkhan po da na shi la/,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,translator,P2554,,lo tsa ba 'bro seng dkar sha kya 'od/,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,revisorPandita,P4CZ15090,,rgya gar gyi mkhan po su b+hU ti shrI shA n+ti/,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,revisor,P4CZ10524,,lo tsA ba cog gru ting nge 'dzin bzang po/,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,revisorPandita2,P0AT0286,,rgya gar gyi mkhan po rgyal po'i sras dpal 'jigs med lha,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,revisor2,P1245,,snyel cor dge slong pra dz+nyA kIr+ti,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,revisor3,P2085,,dpang lo tsA ba dpal ldan blo gros brtan pa,,"(Colo. I: 1st kalpa, chaps. 1–5)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,translatorPandita2,P44,,pa n+di ta mai tri zhabs/,,"(Colo II: 1st kalpa, chaps. 6–11 & 2nd kalpa, chaps. 1–12)",
D1180,kye'i rdo rje bsdus pa'i don gyi rgya cher 'grel pa,translator2,P2553,,bro dge slong shes rab grags ,,"(Colo II: 1st kalpa, chaps. 6–11 & 2nd kalpa, chaps. 1–12)",
D1181,kye'i rdo rje'i rgyud kyi dka' 'grel pad+ma can zhes bya ba,author,P8335,,slob dpon mtsho skyes rdo rje,,,
D1181,kye'i rdo rje'i rgyud kyi dka' 'grel pad+ma can zhes bya ba,translatorPandita,P4CZ15371,,rgya gar gyi mkhan po mkhas pa chen po kI ti ga r+b+ha,,,
D1181,kye'i rdo rje'i rgyud kyi dka' 'grel pad+ma can zhes bya ba,translator,P8149,,zhu chen gyi lo tsA ba khu ston dngos grub,,,
D1181,kye'i rdo rje'i rgyud kyi dka' 'grel pad+ma can zhes bya ba,translationplace,-,,dben gnas rtsed kyi stag lung,,,
D1182,dpal dgyes pa'i rdo rje'i rnam bshad rnam par 'grel pa zhes bya ba,author,P4CZ10526,,b+ha ba b+ha dra zhabs,,,
D1182,dpal dgyes pa'i rdo rje'i rnam bshad rnam par 'grel pa zhes bya ba,translatorPandita,P4CZ15273,,rgya gar gyi mkhan po puN+ya kIrti,,,
D1182,dpal dgyes pa'i rdo rje'i rnam bshad rnam par 'grel pa zhes bya ba,translator,P4180,,zhu chen lo tsA bsod nams rgyal mtshan,,,
D1182,dpal dgyes pa'i rdo rje'i rnam bshad rnam par 'grel pa zhes bya ba,revisor,P3814,,lo tsA ba mar pa chos kyi dbang phyug,,,
D1183,dgyes pa rdo rje'i dka' 'grel rnal 'byor rin po che'i phreng ba zhes bya ba,author,P2956,,?,,,
D1183,dgyes pa rdo rje'i dka' 'grel rnal 'byor rin po che'i phreng ba zhes bya ba,translatorPandita,P2956,,rgya gar gyi mkhan po kriSh+Na paN+Di ta,,,
D1183,dgyes pa rdo rje'i dka' 'grel rnal 'byor rin po che'i phreng ba zhes bya ba,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D1184,rgyud kyi rgyal po dpal kye'i rdo rje'i 'grel bshad kha sbyor shin tu dri ma med pa zhes bya ba,author,P4CZ10527,,slob dpon chen po D+haM ka dA sha,,,
D1184,rgyud kyi rgyal po dpal kye'i rdo rje'i 'grel bshad kha sbyor shin tu dri ma med pa zhes bya ba,translatorPandita,P8166,,kha che'i yul du 'khrungs pa dri med dpal,,,
