ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D1405,dpal 'khor lo sdom pa'i dka' 'grel dpa' bo'i yid du 'ong ba zhes bya ba,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D1406,dpal 'khor lo sdom pa'i rtsa ba'i rgyud kyi dka' 'grel,author,P4CZ15134,,slob dpon rgyal ba bzang po,,,
D1407,dpal 'khor lo sdom pa'i sgrub thabs gnas pa thams cad rgya cher 'grel pa zhes bya ba,author,P4CZ15115,,lho phyogs kyi rgyud du 'khrungs pa dngos grub brnyes pa'i slob dpon lha sbas,,,
D1408,yon tan ma lus pa'i gnas zhes bya ba'i 'grel pa,author,P3455,,slob dpon chen po dpa' bo rdo rje,,,
D1408,yon tan ma lus pa'i gnas zhes bya ba'i 'grel pa,translator,P3731,,khams pa ba ri lo tsA ba dge slong rin chen grags pa,,,
D1408,yon tan ma lus pa'i gnas zhes bya ba'i 'grel pa,translator,P0AT0298,,paN+Di ta chos skyong,,,
D1409,gnyis ka'i bshad sbyar zhes bya ba,author,P00KG02663,,slob dpon chen po ta thA ga ta rak+Shi ta,,,
D1409,gnyis ka'i bshad sbyar zhes bya ba,translatorPandita,P00KG02663,,rgya gar gyi mkhan po ta thA ga ta rak+Shi ta,,,
D1409,gnyis ka'i bshad sbyar zhes bya ba,translator,P8203,,bod kyi lo tsA ba dge slong d+harmA blo gros,,,
D1409,gnyis ka'i bshad sbyar zhes bya ba,translator2Pandita,?,To Check,rje btsun ta,,,
D1409,gnyis ka'i bshad sbyar zhes bya ba,revisionplace,-,,gang+gA'i chu 'gram gtsug lag khang /_/rig pa'i gter gyi gnas,,,
D1410,dpal sdom pa'i 'grel pa dpal de kho na nyid mkhas pa zhes bya ba,translator,P155,,shAkya'i dge slong rin chen grub,,,
D1410,dpal sdom pa'i 'grel pa dpal de kho na nyid mkhas pa zhes bya ba,author,P4CZ15116,,,,,
D1411,sdom pa'i rgyud chung ngu'i mtshams sbyor,author,P8893,,dpal na ro ta pa'i rjes su 'brangs pa mkhas pa su ma ti kIrti,,,
D1411,sdom pa'i rgyud chung ngu'i mtshams sbyor,translatorPandita,P8893,,rgya gar gyi mkhan po su ma ti kIrti,,,
D1411,sdom pa'i rgyud chung ngu'i mtshams sbyor,translator,P1245,,lo tsA ba dge slong grags mchog shes rab,,,
D1412,dpal bde mchog gi rgya cher bshad pa tshig don rab tu gsal ba zhes bya ba,author,P3455,,slob dpon chen po dpa' bo rdo rje,,,
D1412,dpal bde mchog gi rgya cher bshad pa tshig don rab tu gsal ba zhes bya ba,translatorPandita,P8573,,gar gyi paN+Di ta pa ra hi ta,,,
D1412,dpal bde mchog gi rgya cher bshad pa tshig don rab tu gsal ba zhes bya ba,translator,P3709,,zhu chen gyi lo tsA ba dge slong 'phags pa shes rab,,,
D1413,dpal 'khor lo sdom pa'i rgyud kyi rgyal po bde mchog bsdus pa zhes bya ba'i rnam par bshad pa,author,P2CN574,,in+d+ra b+hU ti,,,
D1414,rtsa ba'i rgyud kyi snying po 'dus pa nges par brjod pa'i rgyud bla ma rtsa ba rtsa ba'i 'grel pa,author,P4CZ15117,,slob dpon shU raM ga badzra,,,
D1414,rtsa ba'i rgyud kyi snying po 'dus pa nges par brjod pa'i rgyud bla ma rtsa ba rtsa ba'i 'grel pa,translator,P3709,,sgra bsgyur gyi lo tsA ba chen po 'phags pa shes rab,,,
D1414,rtsa ba'i rgyud kyi snying po 'dus pa nges par brjod pa'i rgyud bla ma rtsa ba rtsa ba'i 'grel pa,translatorPandita,P4CZ10518,,,,,
D1415,rgyud kyi rgyal po chen po dpal rdo rje mkha' 'gro zhes bya ba'i rnam par bshad pa,author,P4CZ10526,,slob dpon mkhas pa chen po b+ha ba b+ha dra,,,
D1415,rgyud kyi rgyal po chen po dpal rdo rje mkha' 'gro zhes bya ba'i rnam par bshad pa,translatorPandita,P3302,,rgya gar gyi mkhan po paN+Di ta chen po ga ya d+ha ra,,,
D1415,rgyud kyi rgyal po chen po dpal rdo rje mkha' 'gro zhes bya ba'i rnam par bshad pa,translator,P3458,,bod kyi lo tsA ba chen po 'gos lha btsas,,,
D1416,gsang ba rdo rje'i rgyud kyi rgyal po'i 'grel pa,author,P3292,,bla ma Dom+bi he ru ka zhes bya ba brtul zhugs brnyes pa,,,
D1416,gsang ba rdo rje'i rgyud kyi rgyal po'i 'grel pa,translatorPandita,P5006,,gu ru rat+na badzra,,,
D1416,gsang ba rdo rje'i rgyud kyi rgyal po'i 'grel pa,translator,P3285,,lo tsA ba bla ma shAkya ye shes,,,
D1417,dpal rdo rje mkha' 'gro rgyud kyi de kho na nyid rab tu brtan par byed pa zhes bya ba'i dka' 'grel,author,P4CZ15118,,slob dpon chen po nor bzangs,,,
D1417,dpal rdo rje mkha' 'gro rgyud kyi de kho na nyid rab tu brtan par byed pa zhes bya ba'i dka' 'grel,translatorPandita,P3302,,rgya gar gyi mkhan po shrI ga ya d+ha ra,,,
D1417,dpal rdo rje mkha' 'gro rgyud kyi de kho na nyid rab tu brtan par byed pa zhes bya ba'i dka' 'grel,translator,P8129,,bod kyi lo tsA ba gyi jo zla ba'i 'od zer,,,
D1418,dpal gsang chen pad+ma zhes bya ba'i rgya cher 'grel pa,author,P4CZ15079,,rgya gar kha che'i mkhan po longs spyod rdo rje,,,
D1418,dpal gsang chen pad+ma zhes bya ba'i rgya cher 'grel pa,translatorPandita,P4CZ15079,,rgya gar kha che'i mkhan po longs spyod rdo rje,,,
D1419,dpal mkha' 'gro rgya mtsho rnal 'byor ma'i rgyud kyi rgyal po chen po'i 'grel pa gru gzings zhes bya ba,author,P4CZ10536,,grub pa'i slob dpon pad+ma rdo rje'i zhabs,,,
D1419,dpal mkha' 'gro rgya mtsho rnal 'byor ma'i rgyud kyi rgyal po chen po'i 'grel pa gru gzings zhes bya ba,translatorPandita,P7878,,shAkya'i sras po rgyal ba'i sde,,,
D1419,dpal mkha' 'gro rgya mtsho rnal 'byor ma'i rgyud kyi rgyal po chen po'i 'grel pa gru gzings zhes bya ba,translator,P10183,,bod kyi lo tsA ba shAkya seng ge'i dge slong chos kyi yon tan,,,
D1419,dpal mkha' 'gro rgya mtsho rnal 'byor ma'i rgyud kyi rgyal po chen po'i 'grel pa gru gzings zhes bya ba,translationplace,-,,dpal bal yul grub pa'i gnas chen po yam bu'i grong khyer gyi dbus yu tung lhun gyis grub pa'i gtsug lag khang,,,
D1420,dpal sdom pa 'byung ba'i rgyud kyi rgyal po chen po'i dka' 'grel pad+ma can zhes bya ba,author,P8265,,grub pa brnyes pa'i mkhas pa chen po dge slong rat+na rak+Shi ta'i zhabs,,,
D1420,dpal sdom pa 'byung ba'i rgyud kyi rgyal po chen po'i dka' 'grel pad+ma can zhes bya ba,translator,?,To check,dngos kyi slob ma thams cad mkhyen pa'i dpal bzang po,,,
D1420,dpal sdom pa 'byung ba'i rgyud kyi rgyal po chen po'i dka' 'grel pad+ma can zhes bya ba,translator2,P1052,,bod kyi lo tsA ba dge slong blo brtan,,,
D1420,dpal sdom pa 'byung ba'i rgyud kyi rgyal po chen po'i dka' 'grel pad+ma can zhes bya ba,revisionplace,-,,phu ri'i gtsug lag khang,,,
D1421,dpal he ru ka mngon par 'byung ba rnal 'byor ma'i rgyud kyi rgyal po chen po'i dka' 'grel yi ge nyung ngu,author,P4CZ10541,,slob dpon zla ba gzhon nu,,,
D1421,dpal he ru ka mngon par 'byung ba rnal 'byor ma'i rgyud kyi rgyal po chen po'i dka' 'grel yi ge nyung ngu,translatorPandita,P00KG02663,,rgya gar gyi mkhan po ta thA ga ta rak+Shi ta,,,
D1421,dpal he ru ka mngon par 'byung ba rnal 'byor ma'i rgyud kyi rgyal po chen po'i dka' 'grel yi ge nyung ngu,translator,P8203,,bod kyi lo tsA ba dge slong d+harma blo gros,,,
