D0153,mdo sde,165
D0154,mdo sde,15
D0155,mdo sde,2
D0156,mdo sde,96
D0157,mdo sde,131
D0158,mdo sde,19
D0159,mdo sde,25
D0160,mdo sde,156
D0161,mdo sde,78
D0162,mdo sde,9
D0163,mdo sde,32
D0164,mdo sde,16
D0165,mdo sde,9
D0166,mdo sde,8
D0167,mdo sde,71
D0168,mdo sde,98
D0169,mdo sde,95
D0170,mdo sde,7
D0171,mdo sde,8
D0172,mdo sde,8
D0173,mdo sde,5
D0174,mdo sde,143
D0175,mdo sde,192
D0176,mdo sde,130
D0177,mdo sde,2
D0178,mdo sde,9
D0179,mdo sde,45
D0180,mdo sde,59
D0181,mdo sde,151
D0182,mdo sde,38
D0183,mdo sde,3
D0184,mdo sde,19
D0185,mdo sde,76
D0186,mdo sde,30
D0187,mdo sde,67
D0188,mdo sde,17
D0189,mdo sde,4
D0190,mdo sde,48
D0191,mdo sde,39
D0192,mdo sde,6
D0193,mdo sde,10
D0194,mdo sde,2
D0195,mdo sde,31
D0196,mdo sde,11
D0197,mdo sde,7
D0198,mdo sde,44
D0199,mdo sde,14
D0200,mdo sde,11
D0201,mdo sde,124
D0202,mdo sde,31
D0203,mdo sde,8
D0204,mdo sde,22
D0205,mdo sde,4
D0206,mdo sde,3
D0207,mdo sde,29
D0208,mdo sde,6
D0209,mdo sde,9
D0210,mdo sde,16
D0211,mdo sde,4
D0212,mdo sde,2
D0213,mdo sde,162
D0214,mdo sde,7
D0215,mdo sde,4
D0216,mdo sde,115
D0217,mdo sde,31
D0218,mdo sde,28
D0219,mdo sde,20
D0220,mdo sde,153
D0221,mdo sde,14
D0222,mdo sde,85
D0223,mdo sde,75
D0224,mdo sde,20
D0225,mdo sde,3
D0226,mdo sde,5
D0227,mdo sde,24
D0228,mdo sde,75
D0229,mdo sde,79
D0230,mdo sde,62
D0231,mdo sde,223
D0232,mdo sde,204
D0233,mdo sde,62
D0234,mdo sde,10
D0235,mdo sde,26
D0236,mdo sde,49
D0237,mdo sde,25
D0238,mdo sde,197
D0239,mdo sde,284
D0240,mdo sde,121
D0241,mdo sde,3
D0242,mdo sde,7
D0243,mdo sde,29
D0244,mdo sde,25
D0245,mdo sde,12
D0246,mdo sde,20
D0247,mdo sde,8
D0248,mdo sde,26
D0249,mdo sde,2
D0250,mdo sde,2
D0251,mdo sde,2
D0252,mdo sde,18
D0253,mdo sde,3
D0254,mdo sde,2
D0255,mdo sde,7
D0256,mdo sde,35
D0257,mdo sde,309
D0258,mdo sde,29
D0259,mdo sde,10
D0260,mdo sde,40
D0261,mdo sde,54
D0262,mdo sde,177
D0263,mdo sde,240
D0264,mdo sde,109
D0265,mdo sde,48
D0266,mdo sde,63
D0267,mdo sde,9
D0268,mdo sde,4
D0269,mdo sde,13
D0270,mdo sde,9
D0271,mdo sde,8
D0272,mdo sde,10
D0273,mdo sde,8
D0274,mdo sde,13
D0275,mdo sde,18
D0276,mdo sde,11
D0277,mdo sde,7
D0278,mdo sde,5
D0279,mdo sde,2
D0280,mdo sde,2
D0281,mdo sde,1
