,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0036,byams pa bsgom pa'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0037,bslab pa lnga'i phan yon gyi mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0037,bslab pa lnga'i phan yon gyi mdo,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0037,bslab pa lnga'i phan yon gyi mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0038,ri'i kun dga' bo'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0038,ri'i kun dga' bo'i mdo,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0038,ri'i kun dga' bo'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0039,klu'i rgyal po dga' bo nyer dga' 'dul ba'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0039,klu'i rgyal po dga' bo nyer dga' 'dul ba'i mdo,translatorPandita,P0AT0092,,paN+Di ta chen po A ran+da shrI,,,
D0039,klu'i rgyal po dga' bo nyer dga' 'dul ba'i mdo,translationplace,G257,,gtsug lag khang chen po dpal thar pa gling,,,
D0043,bkra shis chen po'i mdo,translatorPandita,P0AT0092,,paN+Di ta A nan+da shrI,,,
D0043,bkra shis chen po'i mdo,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D0043,bkra shis chen po'i mdo,translationplace,-,,dzam bu'i gling gi dbus/_'phags pa'i yul/_byang chub kyi snying po rdo rje'i gdan las dpag tshad brgya tsam byang shar du bgrod pa'i bod yul/_gangs ri'i khrod/_rtsang nyang ro tshong 'dus 'gur mo'i sa cha/_'phags pa rang byung 'jig rten dbang phyug gi gtsug lag khang gi bdag po/_sangs rgyas bcom ldan 'das kyi bstan pa la lhag par mos shing /_dpal 'byor dang chab srid du ma la dbang phyug dam pa'i go 'phang thob pa'i zha lu pa sku zhang grags pa rgyal mtshan du dben sha'i bka' lung gis/_byang chub kyi snying po rdo rje'i gdan las lho phyogs su dpag tshad drug brgya tsam bgrod pa'i gnas/_sing g+ha gling pa bram ze'i rigs las legs par rab tu byung zhing bsnyen par rdzogs pa sde snod gsum la thugs legs par byang ba'i paN+Di ta A nan+da shrI'i zhal snga nas/_mang du thos pa'i lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang pos/_skad gnyis smra ba rnams kyi gdan sa/_gtsug lag khang chen po dpal thar pa gling du bsgyur cing zhus te/_gtan la phab pa'o,,,
D0045,phags pa dkon mchog brtsegs pa chen po'i chos kyi rnam grangs stong phrag brgya pa las sdom pa gsum bstan pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0045,phags pa dkon mchog brtsegs pa chen po'i chos kyi rnam grangs stong phrag brgya pa las sdom pa gsum bstan pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0045,phags pa dkon mchog brtsegs pa chen po'i chos kyi rnam grangs stong phrag brgya pa las sdom pa gsum bstan pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0046,phags pa sgo mtha' yas pa rnam par sbyong ba bstan pa'i le'u zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren dra bo d+hi,,,
D0046,phags pa sgo mtha' yas pa rnam par sbyong ba bstan pa'i le'u zhes bya ba theg pa chen po'i mdo,translator,P8182,,zhu chen gyi lo tsa ba ban de dpal brtsegs rak+Shi ta,,,
D0047,phags pa de bzhin gshegs pa'i gsang ba bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
