,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0407,dpal me'i phreng ba'i rgyud kyi rgyal po,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0407,dpal me'i phreng ba'i rgyud kyi rgyal po,translator,P3285,,lots+tsha ba dge slong shAkya ye shes,,,
D0408,dpal mkha' 'gro ma gsang ba 'bar ba'i rgyud kyi rgyal po,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0408,dpal mkha' 'gro ma gsang ba 'bar ba'i rgyud kyi rgyal po,translator,P3285,,bod kyi lots+tsha ba dge slong shAkya ye shes,,,
D0409,dpal rdo rje 'jigs byed rnam par 'joms pa'i rgyud kyi rgyal po,translatorPandita,P3302,,paN+Di ta ga ya d+ha ra,,,
D0409,dpal rdo rje 'jigs byed rnam par 'joms pa'i rgyud kyi rgyal po,translator,P3285,,lots+tsha ba dge slong shAkya ye shes,,,
D0410,dpal stobs chen ye shes rgyal po'i rgyud kyi rgyal po,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0410,dpal stobs chen ye shes rgyal po'i rgyud kyi rgyal po,translator,P3285,,lots+tsha ba dge slong shAkya ye shes,,,
D0411,dpal rdo rje grub pa dra ba'i sdom pa'i rgyud kyi rgyal po,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0411,dpal rdo rje grub pa dra ba'i sdom pa'i rgyud kyi rgyal po,translator,P3285,,lots+tsha ba dge slong shAkya ye shes,,,
D0412,de bzhin gshegs pa thams cad kyi thugs kyi snying po don gyi rgyud,translator,P2554,,rje btsun gu ru/_lots+tsha ba seng kar shAkya 'od,,,
D0412,de bzhin gshegs pa thams cad kyi thugs kyi snying po don gyi rgyud,translationplace,-,,pham thing du bsgyur cing gtan la phab pa'o,,,
D0413,dpal 'khor lo sdom pa'i rgyud kyi rgyal po dur khrod kyi rgyan rmad du byung ba zhes bya ba,translatorPandita,P3302,,paN+Di ta ga ya d+ha ra,,,
D0413,dpal 'khor lo sdom pa'i rgyud kyi rgyal po dur khrod kyi rgyan rmad du byung ba zhes bya ba,translator,P3285,,lots+tsha ba dge slong shAkya ye shes,,,
D0414,rgyud kyi rgyal po rnyog pa med pa zhes bya ba,translatorPandita,P3302,,rgya gar gyi mkhan po paN+Di ta ga ya d+ha ra,,,
D0414,rgyud kyi rgyal po rnyog pa med pa zhes bya ba,translator,P3285,,bod kyi lots+tsha ba dge slong shAkya ye shes,,,
D0415,dpal bde mchog nam mkha' dang mnyam pa'i rgyud kyi rgyal po zhes bya ba,translatorPandita,P7148,,kha che'i mkhan po dz+nyA na badzra,,,
D0416,dpal rdo rje nag po chen po khros pa'i mgon po gsang ba dngos grub 'byung ba zhes bya ba'i rgyud,translatorPandita,P4004,,rgya gar gyi mkhan po ma hA baN+Di ta a b+ha yA ka ra gup+ta pA da,,,
D0416,dpal rdo rje nag po chen po khros pa'i mgon po gsang ba dngos grub 'byung ba zhes bya ba'i rgyud,translator,P8156,,bod kyi lots+tsha ba mkhas pa chen po khe'u rgang 'khor lo grags,,,
D0416,dpal rdo rje nag po chen po khros pa'i mgon po gsang ba dngos grub 'byung ba zhes bya ba'i rgyud,revisor,P1560,,mkhas pa chen po sangs rgyas grags pa'i spyan sngar kre bo shes rab dpal,,,
D0417,kye'i rdo rje zhes bya ba rgyud kyi rgyal po,translatorPandita,P3302,,,,,
D0417,kye'i rdo rje zhes bya ba rgyud kyi rgyal po,translator,P3285,,,,,
D0418,rdo rje snying pos gsol ba,translatorPandita,P3302,to check,rgya gar mkhan po ga ya ha d+ha ra,,,
D0418,rdo rje snying pos gsol ba,translator,P3285,,bod kyi lo ts+tsha ba dge slong shAkya ye shes,,,
D0418,rdo rje snying pos gsol ba,revisor,P318,,lo ts+tsha ba gzhon nu dpal,,,
D0419,phags pa mkha' 'gro ma rdo rje gur zhes bya ba'i rgyud kyi rgyal po chen po'i brtag pa,translatorPandita,P3302,to check,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0419,phags pa mkha' 'gro ma rdo rje gur zhes bya ba'i rgyud kyi rgyal po chen po'i brtag pa,translator,P3285,,lo ts+tsha ba dge slong shAkya ye shes,,,
D0420,dpal phyag rgya chen po'i thig le zhes bya ba rnal 'byor ma chen mo'i rgyud kyi rgyal po'i mnga' bdag,translatorPandita,P10154,,rgya gar gyi slob dpon rnal 'byor gyi dbang phyug chen po dpal shes rab gsang ba,,,
D0420,dpal phyag rgya chen po'i thig le zhes bya ba rnal 'byor ma chen mo'i rgyud kyi rgyal po'i mnga' bdag,translator,P1359,,ka ma chos kyi ye shes,,,
D0420,dpal phyag rgya chen po'i thig le zhes bya ba rnal 'byor ma chen mo'i rgyud kyi rgyal po'i mnga' bdag,translator,P8160,,phyug mtshams dgra bcom,,,
D0421,dpal ye shes snying po zhes bya ba rnal 'byor ma chen mo'i rgyud kyi rgyal po'i rgyal po,translatorPandita,P10154,,rgya gar gyi mkhan po dpal shes rab gsang ba,,,
D0422,dpal ye shes thig le rnal 'byor ma'i rgyud kyi rgyal po chen po mchog tu rmad du byung ba zhes bya ba,translatorPandita,P10154,,rgya gar gyi mkhan po chen po shrI pradz+nyA gup+ta,,,
D0422,dpal ye shes thig le rnal 'byor ma'i rgyud kyi rgyal po chen po mchog tu rmad du byung ba zhes bya ba,translationplace,-,,dpal sa skya'i dben gnas,,,
D0423,dpal de kho na nyid kyi sgron ma zhes bya ba rnal 'byor chen mo'i rgyud kyi rgyal po,translatorPandita,P10154,,rgya gar gyi mkhan po chen po pradz+nyA shrI gub+ta,,,
D0423,dpal de kho na nyid kyi sgron ma zhes bya ba rnal 'byor chen mo'i rgyud kyi rgyal po,translationplace,-,,dpal sa skya'i dben gnas,,,
D0424,dpal sangs rgyas thod pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,translatorPandita,P3302,,rgya gar gyi mkhan po shrI ga ya d+ha ra,,,
D0424,dpal sangs rgyas thod pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,translator,P8129,,bod kyi lo ts+tsha ba gyi jo zla ba'i 'od zer,,,
D0425,dpal sgyu 'phrul chen po zhes bya ba'i rgyud kyi rgyal po,translatorPandita,P8161,,rgya gar gyi mkhan po dzi na bar,,,
D0425,dpal sgyu 'phrul chen po zhes bya ba'i rgyud kyi rgyal po,translator,P3458,,bod kyi lo ts+tsha ba chen po 'gos lhas btsas,,,
D0426,rdo rje A ra li zhes bya ba'i rgyud kyi rgyal po chen po,translatorPandita,P3302,,rgya gar gyi mkhan po kA ya s+tha pa ga ya d+ha ra,,,
D0426,rdo rje A ra li zhes bya ba'i rgyud kyi rgyal po chen po,translator,P3285,,bod kyi lo ts+tsha ba dge slong shAkya ye shes,,,
D0427,ri gi A ra li'i rgyud kyi rgyal po zhes bya ba,translatorPandita,P3302,,rgya gar gyi mkhan po kA ya s+tha pa ga ya d+ha ra,,,
D0427,ri gi A ra li'i rgyud kyi rgyal po zhes bya ba,translator,P3285,,bod kyi lo ts+tsha ba dge slong shAkya ye shes,,,
D0427,ri gi A ra li'i rgyud kyi rgyal po zhes bya ba,revisor,P1560,,,,,
D0428,rnal 'byor ma'i rgyud kyi rgyal po chen po dpal gdan bzhi pa zhes bya ba,translatorPandita,P3302,,rgya gar gyi mkhan po chen po ga ya d+ha ra,,,
D0428,rnal 'byor ma'i rgyud kyi rgyal po chen po dpal gdan bzhi pa zhes bya ba,translator,P3458,,zhu chen gyi lo tsa ba 'gos khug pa lhas btsas,,,
D0429,dpal gdan bzhi pa'i bshad pa'i rgyud kyi rgyal po sngags kyi cha zhes bya ba,translatorPandita,P3302,,rgya gar gyi mkhan po ga ya d+ha ra,,,
D0429,dpal gdan bzhi pa'i bshad pa'i rgyud kyi rgyal po sngags kyi cha zhes bya ba,translator,P3458,,zhu chen gyi lo ts+tsha ba 'gos khug pa lhas btsas,,,
D0430,dpal gdan bzhi pa'i rnam par bshad pa'i rgyud kyi rgyal po zhes bya ba,translatorPandita,P4849,,paN+Di ta smr-i ti dz+nyA na kIrti,,,
D0431,dpal gtum po khro bo chen po'i rgyud kyi rgyal po dpa' bo gcig pa zhes bya ba,translatorPandita,P4CZ10553,,paN+Di ta rat+na shrI,,,
D0431,dpal gtum po khro bo chen po'i rgyud kyi rgyal po dpa' bo gcig pa zhes bya ba,translator,P2637,,lo ts+tsha ba grags pa rgyal mtshan,,,
D0431,dpal gtum po khro bo chen po'i rgyud kyi rgyal po dpa' bo gcig pa zhes bya ba,translationplace,-,,dpal ldan sa skya'i gtsug lag khang chen po,,,
D0432,phags pa mi g.yo ba'i rtog pa'i rgyud kyi rgyal po,translatorPandita,P0AT0099,,paN+Di ta a tu la dA sa badzra,,,
D0432,phags pa mi g.yo ba'i rtog pa'i rgyud kyi rgyal po,translator,P8178,,bod kyi lo tsA ba mar pa ban+de chos kyi dbang phyug grags pa,,,
D0435,rdo rje bdud rtsi'i rgyud,translator,P8129,,lo tsA ba gyi co zla ba'i 'od zer,,,
D0436,rigs kyi 'jig rten mgon po lnga bcu pa zhes bya ba,translatorPandita,P8166,,paN+Di ta chen po bi ma la shrI b+ha dra,,,
D0436,rigs kyi 'jig rten mgon po lnga bcu pa zhes bya ba,translator,P3980,,shud ke grags pa rgyal mtshan,,,
D0436,rigs kyi 'jig rten mgon po lnga bcu pa zhes bya ba,translationplace,-,,dpal sa skya'i gtsug lag khang chen po,,,
D0437,phags ma sgrol ma ku ru ku l+le'i rtog pa,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D0437,phags ma sgrol ma ku ru ku l+le'i rtog pa,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D0439,rdo rje phur pa rtsa ba'i rgyud kyi dum bu,translator,P1056,,dpal ldan sa skya paN+Di ta,,,
D0439,rdo rje phur pa rtsa ba'i rgyud kyi dum bu,translationplace,-,,g.yas ru'i sa'i cha/_shangs kyi sreg zhing,,,
D0440,nag po chen po zhes bya ba'i rgyud kyi rgyal po,translationplace,-,,ldang 'phrul gyi gtsug lag khang chen po ra sa ra mo che,,,
D0441,ji bzhin brnyes pa nam mkha' dang mnyam pa zhes bya ba'i rgyud,translatorPandita,P8169,,rgya gar gyi mkhan po chen po tAk+Sha ka ga Na,,,
D0441,ji bzhin brnyes pa nam mkha' dang mnyam pa zhes bya ba'i rgyud,translator,P8168,,lo tsA ba mang 'or dge slong byang chub shes rab,,,
D0442,de bzhin gshegs pa thams cad kyi sku gsung thugs kyi gsang chen gsang ba 'dus pa zhes bya ba brtag pa'i rgyal po chen po,translatorPandita,P3388,,rgya gar gyi mkhan po shrad d+hA ka ra warma,,,
D0442,de bzhin gshegs pa thams cad kyi sku gsung thugs kyi gsang chen gsang ba 'dus pa zhes bya ba brtag pa'i rgyal po chen po,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0442,de bzhin gshegs pa thams cad kyi sku gsung thugs kyi gsang chen gsang ba 'dus pa zhes bya ba brtag pa'i rgyal po chen po,revisor,P3202,,paN+Di ta bla ma rdo rje 'dzin pa chen po rje btsun nyi ma'i dbang po,,,
D0442,de bzhin gshegs pa thams cad kyi sku gsung thugs kyi gsang chen gsang ba 'dus pa zhes bya ba brtag pa'i rgyal po chen po,revisor,P1025,,chag lo ts+tsha ba dge slong chos rje dpal,,,
D0443,rgyud phyi ma,translatorPandita,P3388,,rgya gar gyi mkhan po A tsAr+ya shrad d+hA ka ra war+m+ma,,,
D0443,rgyud phyi ma,translator,P753,,zhu chen gyi lo tsA ba dge slong rin chen bzang po,,,
D0444,dgongs pa lung bstan pa zhes bya ba'i rgyud,translatorPandita,P8171,,rgya gar gyi mkhan po d+harma shrI b+ha dra,,,
D0444,dgongs pa lung bstan pa zhes bya ba'i rgyud,translator,P753,,zhu chen gyi lo tsA pa dge slong rin chen bzang po,,,
D0445,rnal 'byor chen po'i rgyud dpal rdo rje phreng ba mngon par brjod pa rgyud thams cad kyi snying po gsang ba rnam par phye ba zhes bya ba,translatorPandita,P8172,,rgya gar gyi mkhan po su dza na shrI dz+nyA na,,,
D0445,rnal 'byor chen po'i rgyud dpal rdo rje phreng ba mngon par brjod pa rgyud thams cad kyi snying po gsang ba rnam par phye ba zhes bya ba,translator,P4149,,sgra bsgyur gyi lo tsA ba chen po bod kyi lha btsan po bla ma dge slong zhi ba'i 'od,,,
D0445,rnal 'byor chen po'i rgyud dpal rdo rje phreng ba mngon par brjod pa rgyud thams cad kyi snying po gsang ba rnam par phye ba zhes bya ba,translationplace,-,,thugs dam sa'i snying po tho ling snying po dpal dpe med lhun gyis grub pa'i gtsug lag khang,,,
D0446,lha mo bzhis yongs su zhus pa,translatorPandita,P4849,,rgya gar gyi mkhan po smr-i ti dz+nyA na kIrti,,,
D0447,ye shes rdo rje kun las btus pa zhes bya ba'i rgyud,translatorPandita,P4308,,rgya gar gyi mkhan po dz+nyA na ka ra,,,
D0447,ye shes rdo rje kun las btus pa zhes bya ba'i rgyud,translator,P8149,,zhu chen gyi lo tsA ba khu ston dngos grub,,,
D0447,ye shes rdo rje kun las btus pa zhes bya ba'i rgyud,revisor,?,to check,bla ma de nyid dang,,,
D0447,ye shes rdo rje kun las btus pa zhes bya ba'i rgyud,revisor,P3456,,dge slong tshul khrims rgyal ba,,,
D0448,phrin las thams cad 'byung ba'i sgrol mang 'dus pa don dam pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,translatorPandita,P4013,,rgya gar lho phyogs su sku 'khrungs pa grub chen bud+d+ha nA tha,,,
D0448,phrin las thams cad 'byung ba'i sgrol mang 'dus pa don dam pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,translatorPandita,P7582,,rgya gar gyi mkhan po ni rgA Na shrI,,,
D0448,phrin las thams cad 'byung ba'i sgrol mang 'dus pa don dam pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,translator,P1428,,rgyal khams pa tA ra nA tha,,,
D0448,phrin las thams cad 'byung ba'i sgrol mang 'dus pa don dam pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,revisor,P4CZ15599,,paN+Di ta pUr+Na badzra,,,
D0448,phrin las thams cad 'byung ba'i sgrol mang 'dus pa don dam pa zhes bya ba rnal 'byor ma'i rgyud kyi rgyal po,revisor,,check in colophon,slob dpon chen pos mar me mdzad pa la ye shes,,,
D0449,phrin las thams cad 'byung ba 'dus pa don dam pa las phyi ma'i rgyud kyi rgyal po,translator,P1428,,rgyal khams pa tA ra na tha,,,
D0450,dpal ye shes rdo rje kun las bsdus pa,translatorPandita,P8174,,dpal nA ro ba'i slob ma kha che'i baN+Dita A ka ra sid+d+hi,,,
D0450,dpal ye shes rdo rje kun las bsdus pa,translator,P6453,to check,lo tsA ba dge slong tshul khrims,,,
D0451,dpal rdo rje snying po rgyan gyi rgyud ces bya ba,translatorPandita,P8093,,rgya gar gyi mkhan po ka ma la gup+ta,,,
D0451,dpal rdo rje snying po rgyan gyi rgyud ces bya ba,translator,P4153,,bod kyi lo ts+tsha ba chen po mnga' bdag lha ye shes rgyal mtshan,,,
D0453,dpal de bzhin gshegs pa thams cad kyi gsang ba rnal 'byor chen po rnam par rgyal ba zhes bya ba mnyam pa nyid gnyis su med pa'i rgyud kyi rgyal po rdo rje dpal mchog chen po brtag pa dang po,translatorPandita,P0AT0320,,rgya gar gyi mkhan po dpal ye shes snying po,,,
D0453,dpal de bzhin gshegs pa thams cad kyi gsang ba rnal 'byor chen po rnam par rgyal ba zhes bya ba mnyam pa nyid gnyis su med pa'i rgyud kyi rgyal po rdo rje dpal mchog chen po brtag pa dang po,translator,P2636,,bod kyi lo ts+tsha ba mar pa lho brag pa chos kyi blo gros,,,
D0453,dpal de bzhin gshegs pa thams cad kyi gsang ba rnal 'byor chen po rnam par rgyal ba zhes bya ba mnyam pa nyid gnyis su med pa'i rgyud kyi rgyal po rdo rje dpal mchog chen po brtag pa dang po,translationplace,-,,du la k+She tra'i grong khyer chen po,,,
D0454,phags pa lag na rdo rje gos sngon po can drag po gsum 'dul ba zhes bya ba'i rgyud,translatorPandita,P8176,,bal po'i paN Di ta de wa puN+ya ma ti,,,
D0454,phags pa lag na rdo rje gos sngon po can drag po gsum 'dul ba zhes bya ba'i rgyud,translator,P3221,,lo ts+tsha ba dge slong chos kyi bzang po,,,
D0455,gsang ba'i rgyud rnams kyi rnam par 'byed pa drag po gsum 'dul zhes bya ba,translatorPandita,P8176,,rgya gar gyi mkhan po de ba pur+N+Na ma ti,,,
D0455,gsang ba'i rgyud rnams kyi rnam par 'byed pa drag po gsum 'dul zhes bya ba,translator,P3221,,lo ts+tsha ba dge slong chos kyi bzang po,,,
D0457,lag na rdo rje gos sngon po can rdo rje gdengs pa'i rgyud khams gsum las rnam par rgyal ba zhes bya ba,translatorPandita,P8LS15063,,paN Di ta aDa ya shrI ma ti,,,
D0457,lag na rdo rje gos sngon po can rdo rje gdengs pa'i rgyud khams gsum las rnam par rgyal ba zhes bya ba,translator,P8178,,bod kyi lots+tsha ba ban de chos kyi dbang phyug grags,,,
D0458,dpal rdo rje gtum po thugs gsang ba'i rgyud,translatorPandita,P8180,,rgya gar gyi mkhan po a ba yug ta,,,
D0458,dpal rdo rje gtum po thugs gsang ba'i rgyud,translator,P8179,,bod kyi lo ts+tsha ba chos kyi brtson 'grus,,,
D0459,dpal rdo rje gtum po thugs gsang ba'i rgyud phyi ma,translatorPandita,P8180,,rgya gar gyi slob dpon a ba yug ti,,,
D0459,dpal rdo rje gtum po thugs gsang ba'i rgyud phyi ma,translator,P8179,,bod kyi lots+tsha ba bla ban chos kyi brtson 'grus,,,
D0460,dpal rdo rje gtum po thugs gsang ba'i rgyud phyi ma'i phyi ma,translatorPandita,P8180,,rgya gar gyi slob dpon a pa yug ti la,,,
D0460,dpal rdo rje gtum po thugs gsang ba'i rgyud phyi ma'i phyi ma,translator,P8179,,bod kyi lo ts+tsha ba bla ban chos kyi brtson 'grus,,,
D0461,phyag na rdo rje gos sngon po can gnod sbyin drag po chen po rdo rje me lce'i rgyud ces bya ba,translatorPandita,P8181,,rgya gar gyi mkhan po chen po rat+na kIrti,,,
D0461,phyag na rdo rje gos sngon po can gnod sbyin drag po chen po rdo rje me lce'i rgyud ces bya ba,translator,P4262,,bod kyi lo ts+tsha ba dge tshul khyung grags,,,
D0462,rdo rje snying po rdo rje lce dbab pa zhes bya ba'i gzungs,translator,?,to check,ska cog,,,
D0462,rdo rje snying po rdo rje lce dbab pa zhes bya ba'i gzungs,revisor,P2614,,nyan lots+tsha ba dar ma grags,,,
D0463,dpal phyag na rdo rje gsang ba bstan pa'i rgyud,translatorPandita,P8184,,rgya gar gyi paN+Di ta wa la tsan+d+ra,,,
D0463,dpal phyag na rdo rje gsang ba bstan pa'i rgyud,translator,P7604,,lo ts+tsha ba glan chung dar ma tshul khrims,,,
D0464,bcom ldan 'das phyag na rdo rje gsang ba mngon par bstan pa'i rgyud kyi rgyal po zhes bya ba,translatorPandita,P8184,,rgya gar gyi mkhan po wa la tsan+d+ra gu ru chen po,,,
D0464,bcom ldan 'das phyag na rdo rje gsang ba mngon par bstan pa'i rgyud kyi rgyal po zhes bya ba,translator,P7604,,bod kyi lo ts+tsha ba glan chung dar ma tshul khrims,,,
D0465,rdo rje bde khros rgyud kyi rgyal po,translatorPandita,P4308,,dz+nyA na ka ra,,,
D0466,rgyud kyi rgyal po chen po sgyu 'phrul dra ba zhes bya ba,translator,P753,,zhu chen gyi lots+tsa ba dge slong rin chen bzang po,,,
D0467,de bzhin gshegs pa thams cad kyi sku gsung thugs gshin rje gshed nag po zhes bya ba'i rgyud,translatorPandita,P3379,,rgya gar gyi mkhan po chen po mkhas pa dI dI paM kar shrIdz+nyA na,,,
D0467,de bzhin gshegs pa thams cad kyi sku gsung thugs gshin rje gshed nag po zhes bya ba'i rgyud,translator,P3456,,bod kyi lots+tsha ba dge slong tshul khrims rgyal ba,,,
D0467,de bzhin gshegs pa thams cad kyi sku gsung thugs gshin rje gshed nag po zhes bya ba'i rgyud,revisor,P2614,,lots+tsha ba dge slong dar ma grags,,,
D0467,de bzhin gshegs pa thams cad kyi sku gsung thugs gshin rje gshed nag po zhes bya ba'i rgyud,revisor2,P3143,,dge slong rdo rje grags,,,
D0468,dpal rdo rje 'jigs byed chen po'i rgyud ces bya ba,reciter,P4CZ15088,,bla ma dam pa'i dkyil 'khor chen po'i slob dpon dpal lA li ta badzra,,,
D0468,dpal rdo rje 'jigs byed chen po'i rgyud ces bya ba,translatorPandita,P3174,,rgya gar gyi paN+Di ta mchog gi dngos grub brnyes pa bA ro phyag rdum,,,
D0468,dpal rdo rje 'jigs byed chen po'i rgyud ces bya ba,translator,P3143,,bod kyi lots+tsha ba dge slong rdo rje grags,,,
D0470,dpal rdo rje 'jigs byed kyi rtog pa'i rgyud kyi rgyal po,translatorPandita,?,to check,paN+Di ta chen po a mo g+ha'i zhabs nus pa can,,,
D0470,dpal rdo rje 'jigs byed kyi rtog pa'i rgyud kyi rgyal po,translator,P8178,,bod kyi lots+tsha ba mar pa ban+de chos kyi dbang phyug grags pa,,,
D0470,dpal rdo rje 'jigs byed kyi rtog pa'i rgyud kyi rgyal po,revisor,P2147,,thar pa lo ts+tsha ba nyi ma rgyal mtshan,,,
D0472,te'u lo pa'i cho ga zhes bya ba,translatorPandita,P3379,,rgya gar gyi mkhan po dI pa~M ka ra,,,
D0472,te'u lo pa'i cho ga zhes bya ba,translator,P3143,,bod kyi lots+tsha ba rwa rdo rje grags,,,
D0473,gshin rje'i gshed dgra nag po'i 'khor lo las thams cad grub par byed pa zhes bya ba'i rgyud kyi rgyal po,translatorPandita,P3174,,paN+Di ta bA ro phyag rdum,,,
D0473,gshin rje'i gshed dgra nag po'i 'khor lo las thams cad grub par byed pa zhes bya ba'i rgyud kyi rgyal po,translator,P3143,,rwa rdo rje grags,,,
D0474,dpal gshin rje'i gshed dmar po zhes bya ba'i rgyud kyi rgyal po,translatorPandita,P5782,,paN+Di ta chen po tsan+d+ra kIrti,,,
D0474,dpal gshin rje'i gshed dmar po zhes bya ba'i rgyud kyi rgyal po,translator,P2637,,yar lungs pa grags pa rgyal mtshan,,,
D0474,dpal gshin rje'i gshed dmar po zhes bya ba'i rgyud kyi rgyal po,translationplace,-,,bal yul yam bu'i grong khyer,,,
D0475,dpal ldan gshin rje gshed dmar po'i rgyud kyi rgyal po zhes bya ba,translator,P155,,bod kyi lo ts+tsha ba shAkya'i dge slong rin chen grub,,,
D0475,dpal ldan gshin rje gshed dmar po'i rgyud kyi rgyal po zhes bya ba,translationplace,-,,chos kyi rje khro phu lots+tsha ba'i gdan sa gnas gsar dgon pa,,,
D0476,dpal bcom ldan 'das ral pa gcig pa'i brtag pa'i rgyud kyi rgyal po chen po zhes bya ba,translatorPandita,P8191,,rgya gar gyi paN+Di ta chen po badzra shrI kha la ru dra,,,
D0476,dpal bcom ldan 'das ral pa gcig pa'i brtag pa'i rgyud kyi rgyal po chen po zhes bya ba,translator,P4007,,bod kyi lo ts+tsha ba dge slong byams pa'i dpal ,,,
D0477,dpal zla gsang thig le zhes bya ba rgyud kyi rgyal po chen po,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0478,dpal ldan gshin rje'i gshed dmar po'i rgyud kyi rgyal po zhes bya ba,translator,P155,,bod kyi lo ts+tsha ba shAkya'i dge slong rin chen grub,,,
D0478,dpal ldan gshin rje'i gshed dmar po'i rgyud kyi rgyal po zhes bya ba,revisor,P956,? to check,chos smra ba bstan pa'i nyin byed,,,
D0478,dpal ldan gshin rje'i gshed dmar po'i rgyud kyi rgyal po zhes bya ba,translationplace,-,,chos kyi rje khro phu lots+tsha ba'i gdan sa gnas gsar dgon pa,,,
D0478,dpal ldan gshin rje'i gshed dmar po'i rgyud kyi rgyal po zhes bya ba,revisionplace,-,,thub bstan chos 'khor gyi dgon pa,,,
D0479,de bzhin gshegs pa thams cad kyi de kho na nyid bsdus pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P3388,,paN+Di ta shrad+d+hA ka ra war+m+ma,,,
D0479,de bzhin gshegs pa thams cad kyi de kho na nyid bsdus pa zhes bya ba theg pa chen po'i mdo,translator,P753,,bod kyi lo ts+tsha ba rin chen bzang po,,,
D0480,gsang ba rnal 'byor chen po'i rgyud rdo rje rtse mo,translatorPandita,P8193,,rgya gar gyi mkhan po rdo rje slob dpon chen po karma badzra,,,
D0480,gsang ba rnal 'byor chen po'i rgyud rdo rje rtse mo,translator,P4418,,lo ts+tsha ba dge slong gzhon nu tshul khrims,,,
D0481,thams cad gsang ba zhes bya ba rgyud kyi rgyal po,translatorPandita,P8194,,rgya gar gyi mkhan po pad+mA ka ra ba rma,,,
D0481,thams cad gsang ba zhes bya ba rgyud kyi rgyal po,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0482,jig rten gsum las rnam par rgyal ba rtog pa'i rgyal po chen po,translator,P753,,lo chen rin chen bzang po,,,
D0482,jig rten gsum las rnam par rgyal ba rtog pa'i rgyal po chen po,translator,P1242,,rma dge blos,,,
D0482,jig rten gsum las rnam par rgyal ba rtog pa'i rgyal po chen po,revisor,P4422,,rnal 'byor rgyud la mkhas pa zha lu pa ye shes rgya mtsho,,,
D0483,de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa zhes bya ba,translatorPandita,P4957,,rgya gar gyi mkhan po shIn+taM gar+b+ha,,,
D0483,de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa zhes bya ba,translator,P8196,,bod kyi lo ts+tsha ba ban+de dza ya rak+Shi ta,,,
D0484,,translatorPandita,P4957,,rgya gar gyi mkhan po shIn+taM gar+b+ha,,,
D0484,,translator,P8196,,lots+tsha ba ban+de dza ya rak+Shi ta,,,
D0485,de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa phyogs gcig pa zhes bya ba,translator,P1025,,chag lo tsA ba shAkya'i dge slong chos rje dpal,,,
D0485,de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa phyogs gcig pa zhes bya ba,translationplace,-,,spre'u lo dbyug gu zla ba'i mar ngo'i tshes bcu gsum la/_gtsug lag khang chen po dpal thang po cher dbu btsugs nas/_smin drug zla ba'i yar ngo'i tshes bcu gnyis kyi snga dro'i bar zhag bco lngar 'gro ba'i tshe dpal 'dren gyi lha'i gdings su tshar bar bgyis so,,,
D0486,rab tu gnas pa mdor bsdus pa'i rgyud,translatorPandita,P7148,,kha che'i paN+Di ta chen po dz+nyA na badzra,,,
D0486,rab tu gnas pa mdor bsdus pa'i rgyud,translator,P2553,,lo tsA ba 'bro dge slong shes rab grags pa,,,
D0487,dpal mchog dang po zhes bya ba theg pa chen po'i rtog pa'i rgyal po,translatorPandita,P3388,,rgya gar gyi mkhan po A tsAr+ya shrad d+hA ka ra ba rma,,,
D0487,dpal mchog dang po zhes bya ba theg pa chen po'i rtog pa'i rgyal po,translator,P753,,zhu chen gyi lo ts+tsha ba dge slong rin chen bzang po,,,
D0488,dpal mchog dang po'i sngags kyi rtog pa'i dum bu zhes bya ba,translatorPandita,P4CZ15235,,rgya gar gyi mkhan po paN+Di ta mkhas pa chen po man+t+ra kA la sha,,,
